 KOMONDOR SIMULATION 'sim_0_agents_free' (seed 10);{102.80,81.52,108.21,57.62};{89.72,77.10,93.47,61.72};{89.84,77.10,93.47,61.72};{0.00,0.00,0.00,2.05};{12.55,20.36,1.72,55.31};{0.51,9.00,0.94,1.55};{5.65,5.59,5.65,5.61};{103.21,75.78,109.26,79.56};{5.65,5.59,5.65,5.58};{90.16,90.16,90.16,90.16};{90.30,90.30,90.30,90.30};{0.37,1.25,0.16,0.93};
 KOMONDOR SIMULATION 'sim_1_agents_free' (seed 10);{58.94,71.80,96.84,83.74};{67.37,85.66,87.50,94.73};{68.02,85.66,87.50,94.73};{0.00,0.00,0.00,0.00};{50.49,22.40,13.64,0.00};{0.45,0.77,0.75,0.30};{5.61,5.59,5.65,5.63};{43.56,87.83,110.28,79.30};{5.55,5.61,5.65,5.64};{66.54,66.54,66.54,66.54};{67.24,67.24,67.24,67.24};{1.19,0.22,0.11,0.11};
 KOMONDOR SIMULATION 'sim_2_agents_free' (seed 10);{90.42,99.86,96.79,64.12};{94.51,94.50,84.99,58.16};{94.51,94.50,84.99,58.16};{0.00,0.00,0.00,0.00};{0.00,1.03,13.58,45.91};{0.56,0.30,2.91,14.81};{5.61,5.58,5.65,5.63};{88.04,100.28,106.02,92.86};{5.61,5.58,5.65,5.65};{93.27,93.27,93.27,93.27};{93.27,93.27,93.27,93.27};{0.24,0.11,0.31,0.87};
 KOMONDOR SIMULATION 'sim_3_agents_free' (seed 10);{75.56,79.02,90.77,74.51};{66.61,86.13,81.95,94.03};{66.90,86.13,81.95,94.03};{0.00,0.47,0.50,0.00};{31.93,20.45,23.37,0.25};{12.24,0.06,2.04,0.25};{5.64,5.62,5.65,5.58};{89.49,80.02,95.34,79.83};{5.65,5.64,5.65,5.59};{77.53,77.53,77.53,77.53};{77.79,77.79,77.79,77.79};{1.05,0.25,0.73,0.28};
 KOMONDOR SIMULATION 'sim_4_agents_free' (seed 10);{81.50,99.98,72.74,88.88};{71.21,86.56,93.08,78.68};{71.61,86.56,93.08,78.68};{0.00,0.00,0.00,0.46};{37.18,11.92,2.78,28.94};{3.68,2.02,0.80,1.42};{5.65,5.65,5.58,5.65};{91.65,100.62,73.18,34.85};{5.65,5.65,5.58,5.65};{79.49,79.49,79.49,79.49};{79.83,79.83,79.83,79.83};{0.84,0.64,0.11,2.32};
 KOMONDOR SIMULATION 'sim_5_agents_free' (seed 10);{63.58,71.69,65.40,91.23};{56.15,94.36,67.91,94.40};{57.41,94.36,67.91,94.40};{0.60,0.00,2.18,0.00};{52.47,0.00,33.17,0.00};{7.48,0.13,11.67,0.86};{5.65,5.58,5.63,5.61};{85.01,59.44,75.23,94.81};{5.65,5.54,5.64,5.62};{75.09,75.09,75.09,75.09};{75.38,75.38,75.38,75.38};{1.16,0.11,1.49,0.11};
 KOMONDOR SIMULATION 'sim_6_agents_free' (seed 10);{56.90,89.17,84.23,67.91};{54.20,82.86,93.11,72.26};{54.71,82.86,93.11,72.26};{0.00,0.00,0.00,0.00};{49.75,17.92,4.29,28.21};{14.27,3.85,0.57,9.60};{5.63,5.64,5.63,5.61};{56.96,91.90,81.78,75.59};{5.64,5.65,5.64,5.63};{51.55,51.55,51.55,51.55};{52.10,52.10,52.10,52.10};{2.33,0.89,0.14,1.05};
 KOMONDOR SIMULATION 'sim_7_agents_free' (seed 10);{71.67,90.92,102.66,77.79};{76.02,91.15,91.69,88.76};{76.46,91.15,91.69,88.76};{0.03,0.00,0.00,0.00};{35.53,6.60,6.62,1.82};{1.05,0.30,0.90,6.03};{5.62,5.62,5.65,5.64};{91.29,86.16,104.24,81.29};{5.64,5.61,5.65,5.63};{83.93,83.93,83.93,83.93};{84.21,84.21,84.21,84.21};{0.64,0.33,0.39,0.11};
 KOMONDOR SIMULATION 'sim_8_agents_free' (seed 10);{83.97,84.86,101.51,92.81};{94.18,87.95,93.87,89.47};{94.19,87.95,93.87,89.47};{0.00,0.00,0.00,0.04};{0.67,15.97,0.87,14.53};{0.64,0.41,1.13,0.08};{5.63,5.61,5.60,5.63};{79.30,79.32,100.28,110.28};{5.64,5.64,5.58,5.65};{95.28,95.28,95.28,95.28};{95.28,95.28,95.28,95.28};{0.11,0.11,0.11,0.11};
 KOMONDOR SIMULATION 'sim_9_agents_free' (seed 10);{84.03,80.31,70.27,63.85};{94.21,85.32,64.00,57.28};{94.21,85.32,64.00,57.28};{0.00,0.00,0.10,0.10};{0.00,23.49,43.69,39.37};{0.07,0.08,7.72,19.30};{5.62,5.62,5.65,5.65};{82.37,90.82,91.20,85.29};{5.64,5.64,5.65,5.65};{95.26,95.26,95.26,95.26};{95.26,95.26,95.26,95.26};{0.11,0.69,1.25,1.07};
