 KOMONDOR SIMULATION 'sim_0_agents_free_coordinated' (seed 11);{99.77,88.02,106.10,78.20};{88.29,81.15,91.71,71.02};{88.43,81.15,91.71,71.02};{0.00,0.00,0.00,0.04};{14.83,18.22,4.72,41.23};{0.60,6.09,1.12,3.38};{5.65,5.61,5.65,5.63};{110.35,81.16,110.28,110.28};{5.65,5.58,5.65,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,1.04,0.11,0.11};
 KOMONDOR SIMULATION 'sim_1_agents_free_coordinated' (seed 11);{64.26,61.41,94.71,95.95};{70.56,79.60,93.50,94.55};{71.26,79.60,93.50,94.55};{0.21,0.00,0.00,0.00};{37.92,33.41,2.33,0.00};{4.78,0.56,0.64,0.47};{5.60,5.59,5.63,5.61};{88.15,47.58,88.15,99.26};{5.60,5.54,5.60,5.57};{95.27,95.27,95.27,95.27};{95.27,95.27,95.27,95.27};{0.11,0.89,0.11,0.11};
 KOMONDOR SIMULATION 'sim_2_agents_free_coordinated' (seed 11);{106.71,101.40,89.21,65.11};{93.55,92.71,87.49,65.00};{93.55,92.71,87.49,65.00};{0.00,0.00,0.54,0.08};{0.10,1.56,14.07,45.46};{0.89,1.00,0.65,7.52};{5.65,5.61,5.63,5.59};{110.35,107.08,106.83,78.67};{5.65,5.65,5.65,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,0.24,0.19,0.81};
 KOMONDOR SIMULATION 'sim_3_agents_free_coordinated' (seed 11);{83.89,93.33,87.81,82.77};{72.96,87.92,80.44,92.67};{73.25,87.92,80.44,92.67};{0.00,0.11,0.01,0.00};{29.72,17.30,26.36,2.21};{6.93,0.17,0.94,0.46};{5.65,5.65,5.64,5.61};{99.98,101.07,110.28,88.10};{5.65,5.65,5.65,5.60};{86.42,86.42,86.42,86.42};{86.46,86.46,86.46,86.46};{0.67,0.41,0.11,0.11};
 KOMONDOR SIMULATION 'sim_4_agents_free_coordinated' (seed 11);{97.71,91.22,96.42,95.33};{85.72,79.19,93.99,85.66};{85.90,79.19,93.99,85.66};{0.00,0.00,0.00,0.44};{17.99,21.96,0.73,18.29};{1.34,5.56,0.85,2.29};{5.65,5.65,5.63,5.65};{95.53,79.37,105.88,110.09};{5.65,5.65,5.64,5.65};{82.83,82.83,82.83,82.83};{83.11,83.11,83.11,83.11};{0.70,1.50,0.11,0.12};
 KOMONDOR SIMULATION 'sim_5_agents_free_coordinated' (seed 11);{71.56,88.03,83.53,94.37};{62.87,93.69,76.52,88.56};{65.22,93.69,76.52,88.56};{1.43,0.00,1.19,0.00};{46.77,0.00,27.95,0.00};{2.87,0.24,3.77,5.50};{5.65,5.62,5.65,5.64};{105.45,110.35,86.76,88.05};{5.65,5.65,5.65,5.60};{91.16,91.16,91.16,91.16};{91.27,91.27,91.27,91.27};{0.32,0.11,1.02,0.12};
 KOMONDOR SIMULATION 'sim_6_agents_free_coordinated' (seed 11);{95.24,74.01,86.21,80.63};{90.50,86.40,91.88,90.47};{90.59,86.40,91.88,90.47};{0.00,0.00,0.00,0.00};{9.80,10.93,2.41,11.03};{0.62,3.86,0.55,0.11};{5.63,5.60,5.63,5.61};{90.01,62.34,79.30,60.66};{5.62,5.56,5.64,5.55};{92.50,92.50,92.50,92.50};{92.56,92.56,92.56,92.56};{0.26,0.29,0.11,0.25};
 KOMONDOR SIMULATION 'sim_7_agents_free_coordinated' (seed 11);{99.25,100.15,96.21,79.64};{88.05,92.92,90.29,85.89};{88.29,92.92,90.29,85.89};{0.06,0.00,0.00,0.00};{14.57,4.11,6.82,11.89};{0.12,0.96,1.16,3.78};{5.65,5.64,5.64,5.61};{108.57,108.10,98.48,65.36};{5.65,5.65,5.63,5.63};{93.84,93.84,93.84,93.84};{93.88,93.88,93.88,93.88};{0.19,0.11,0.16,0.97};
 KOMONDOR SIMULATION 'sim_8_agents_free_coordinated' (seed 11);{90.21,95.49,98.26,93.57};{95.00,90.20,91.81,92.13};{95.00,90.20,91.81,92.13};{0.00,0.00,0.00,0.03};{0.00,10.43,3.15,7.87};{0.27,0.36,1.86,0.10};{5.63,5.59,5.59,5.63};{92.57,94.51,101.42,86.24};{5.60,5.59,5.59,5.61};{93.56,93.56,93.56,93.56};{93.56,93.56,93.56,93.56};{0.21,0.32,0.11,0.32};
 KOMONDOR SIMULATION 'sim_9_agents_free_coordinated' (seed 11);{100.23,74.77,83.65,81.92};{93.34,78.47,74.10,73.35};{93.34,78.47,74.10,73.35};{0.00,0.00,0.14,0.14};{0.00,32.64,35.03,32.75};{0.37,1.02,3.68,5.71};{5.61,5.62,5.65,5.65};{110.35,45.31,88.33,103.54};{5.65,5.56,5.65,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,1.23,1.02,0.46};
