 KOMONDOR SIMULATION 'sim_0_agents_obsspd' (seed 10);{35.65,75.72,75.04,35.87};{31.00,65.64,64.89,31.07};{31.00,65.64,64.89,31.07};{0.00,0.00,0.05,0.00};{0.62,0.01,2.69,0.00};{0.02,0.10,0.16,46.52};{5.65,5.65,5.65,5.65};{110.28,0.00,0.00,110.28};{5.65,-1000.00,-1000.00,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_1_agents_obsspd' (seed 10);{35.97,74.30,74.46,36.31};{30.99,64.22,64.35,31.44};{31.14,64.22,64.35,31.44};{0.25,0.08,0.01,0.00};{0.04,0.38,0.00,0.00};{48.76,0.00,0.00,0.00};{5.65,5.65,5.65,5.65};{0.00,110.28,110.28,0.00};{-1000.00,5.65,5.65,-1000.00};{0.11,0.11,0.11,0.11};{0.11,0.11,0.11,0.11};{0.75,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_2_agents_obsspd' (seed 10);{51.64,65.47,65.84,48.68};{44.97,57.28,57.77,42.94};{44.97,57.28,57.77,42.94};{0.00,0.01,0.00,0.01};{0.00,0.86,0.00,11.81};{0.00,0.01,0.15,0.31};{5.65,5.65,5.65,5.65};{38.73,87.58,88.76,35.55};{5.65,5.65,5.65,5.63};{33.45,33.45,33.45,33.45};{33.45,33.45,33.45,33.45};{1.63,1.13,1.10,1.35};
 KOMONDOR SIMULATION 'sim_3_agents_obsspd' (seed 10);{96.00,18.44,18.43,96.00};{83.24,16.56,17.20,83.27};{83.25,16.56,17.20,83.27};{0.00,0.00,0.00,0.05};{0.62,0.00,0.00,0.93};{0.02,0.28,19.04,0.00};{5.65,5.65,5.64,5.65};{110.28,0.00,0.24,110.28};{5.65,-1000.00,5.54,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,-nan,0.10,0.11};
 KOMONDOR SIMULATION 'sim_4_agents_obsspd' (seed 10);{75.50,35.63,38.41,74.54};{65.61,30.99,33.37,64.51};{65.61,30.99,33.37,64.51};{0.00,0.21,0.00,0.07};{0.00,13.34,0.00,3.80};{0.18,33.57,0.00,18.31};{5.65,5.65,5.65,5.65};{110.28,0.00,0.00,110.28};{5.65,-1000.00,-1000.00,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,1.94,-nan,0.11};
 KOMONDOR SIMULATION 'sim_5_agents_obsspd' (seed 10);{77.91,32.75,34.08,77.58};{67.55,28.43,29.47,67.38};{67.55,28.43,29.47,67.38};{0.00,0.43,0.00,0.48};{0.00,4.24,0.00,0.09};{0.00,0.19,0.00,0.01};{5.65,5.65,5.65,5.65};{109.75,1.40,2.83,108.86};{5.65,5.65,5.62,5.65};{95.12,95.12,95.12,95.12};{95.12,95.12,95.12,95.12};{0.12,8.85,13.27,0.14};
 KOMONDOR SIMULATION 'sim_6_agents_obsspd' (seed 10);{90.53,29.13,31.87,90.86};{79.18,28.09,28.91,79.06};{79.19,28.09,28.91,79.06};{0.00,0.02,0.00,0.00};{0.70,2.56,0.00,0.32};{0.32,1.31,0.00,1.17};{5.65,5.64,5.65,5.65};{110.03,0.31,0.33,110.31};{5.65,5.61,5.61,5.65};{95.07,95.07,95.07,95.07};{95.08,95.08,95.08,95.08};{0.12,111.13,110.42,0.11};
 KOMONDOR SIMULATION 'sim_7_agents_obsspd' (seed 10);{41.37,69.64,69.76,41.23};{35.82,60.21,60.35,35.71};{35.82,60.21,60.35,35.71};{0.00,0.04,0.03,0.00};{0.00,1.41,0.61,0.08};{0.00,0.10,0.07,36.59};{5.65,5.65,5.65,5.65};{110.28,0.00,0.00,110.35};{5.65,-1000.00,-1000.00,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_8_agents_obsspd' (seed 10);{36.26,74.73,75.13,35.60};{31.39,64.58,64.90,31.40};{31.39,64.58,64.90,31.40};{0.00,0.02,0.00,1.89};{0.00,1.91,0.21,0.14};{0.18,0.03,0.08,21.27};{5.65,5.65,5.65,5.65};{110.13,0.00,0.71,110.20};{5.65,-1000.00,5.61,5.65};{95.23,95.23,95.23,95.23};{95.23,95.23,95.23,95.23};{0.11,4.24,6.75,0.11};
 KOMONDOR SIMULATION 'sim_9_agents_obsspd' (seed 10);{33.88,76.31,76.55,33.94};{29.29,65.97,66.15,29.42};{29.33,65.97,66.15,29.42};{0.00,0.07,0.06,0.17};{11.26,0.58,0.42,6.39};{0.40,18.73,21.71,47.85};{5.65,5.65,5.65,5.65};{61.37,48.84,48.91,61.49};{5.65,5.65,5.65,5.65};{53.06,53.06,53.06,53.06};{53.07,53.07,53.07,53.07};{0.46,1.29,1.28,4.66};
