 KOMONDOR SIMULATION 'sim_0_agents_obsspd_coordinated' (seed 11);{55.56,55.14,54.96,55.71};{48.06,47.78,47.50,48.13};{48.06,47.78,47.50,48.13};{0.00,0.00,0.02,0.00};{0.24,0.00,1.02,0.00};{0.00,0.00,0.11,32.43};{5.65,5.65,5.65,5.65};{5.64,105.33,105.11,5.71};{5.65,5.65,5.65,5.65};{5.05,5.05,5.05,5.05};{5.05,5.05,5.05,5.05};{8.12,0.37,0.38,35.85};
 KOMONDOR SIMULATION 'sim_1_agents_obsspd_coordinated' (seed 11);{15.52,94.88,95.07,16.22};{13.28,82.19,82.20,14.35};{13.52,82.19,82.20,14.35};{0.89,0.25,0.00,0.00};{1.52,1.12,1.97,0.00};{52.66,0.19,0.10,0.06};{5.65,5.65,5.65,5.65};{19.27,89.89,90.88,20.73};{5.65,5.65,5.65,5.65};{16.65,16.65,16.65,16.65};{16.65,16.65,16.65,16.65};{24.57,0.58,0.53,2.28};
 KOMONDOR SIMULATION 'sim_2_agents_obsspd_coordinated' (seed 11);{64.41,47.95,48.41,63.16};{55.73,41.44,42.13,54.70};{55.73,41.44,42.13,54.70};{0.00,0.01,0.00,0.00};{0.00,0.66,0.00,5.69};{0.12,0.46,0.00,0.00};{5.65,5.65,5.65,5.65};{0.00,110.28,110.28,0.00};{-1000.00,5.65,5.65,-1000.00};{0.00,0.00,0.00,0.00};{0.00,0.00,0.00,0.00};{-nan,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_3_agents_obsspd_coordinated' (seed 11);{109.24,3.38,3.27,109.27};{94.50,3.28,3.40,94.67};{94.50,3.28,3.40,94.67};{0.00,0.00,0.00,0.06};{0.38,0.00,0.00,0.06};{0.00,0.16,38.28,0.00};{5.65,5.65,5.63,5.65};{110.11,1.46,1.55,110.07};{5.65,5.65,5.64,5.65};{95.28,95.28,95.28,95.28};{95.28,95.28,95.28,95.28};{0.11,22.67,16.16,0.12};
 KOMONDOR SIMULATION 'sim_4_agents_obsspd_coordinated' (seed 11);{20.85,92.29,94.35,17.98};{18.55,79.88,81.53,15.66};{18.55,79.88,81.53,15.66};{0.00,0.09,0.00,0.35};{0.00,1.01,0.00,15.59};{0.23,13.48,0.03,57.05};{5.65,5.65,5.65,5.65};{95.53,16.98,21.31,93.62};{5.65,5.65,5.65,5.65};{82.49,82.49,82.49,82.49};{82.49,82.49,82.49,82.49};{0.99,2.57,2.33,1.26};
 KOMONDOR SIMULATION 'sim_5_agents_obsspd_coordinated' (seed 11);{81.41,31.24,32.73,79.50};{70.62,27.11,28.28,69.56};{70.62,27.11,28.28,69.56};{0.00,0.06,0.00,0.92};{0.00,13.46,0.00,2.56};{0.12,0.11,0.61,0.35};{5.65,5.65,5.65,5.65};{110.35,0.00,0.00,110.35};{5.65,-1000.00,-1000.00,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_6_agents_obsspd_coordinated' (seed 11);{48.21,70.62,72.02,48.83};{42.88,62.32,62.60,42.50};{42.90,62.32,62.60,42.50};{0.00,0.00,0.00,0.01};{3.86,1.00,0.00,1.48};{0.59,0.98,0.62,1.38};{5.65,5.65,5.65,5.65};{52.34,74.23,78.61,55.46};{5.65,5.65,5.65,5.65};{47.71,47.71,47.71,47.71};{47.72,47.72,47.72,47.72};{2.29,1.35,1.55,2.31};
 KOMONDOR SIMULATION 'sim_7_agents_obsspd_coordinated' (seed 11);{33.13,78.66,78.78,33.08};{29.03,68.11,68.24,28.79};{29.03,68.11,68.24,28.79};{0.00,0.04,0.06,0.00};{0.00,2.59,2.13,0.08};{0.24,0.00,0.07,38.66};{5.65,5.65,5.65,5.65};{4.75,108.23,107.93,3.08};{5.64,5.65,5.65,5.65};{4.33,4.33,4.33,4.33};{4.33,4.33,4.33,4.33};{11.80,0.21,0.23,63.52};
 KOMONDOR SIMULATION 'sim_8_agents_obsspd_coordinated' (seed 11);{67.59,43.42,43.37,66.96};{58.49,37.55,37.49,58.26};{58.49,37.55,37.49,58.26};{0.00,0.09,0.00,0.74};{0.00,0.20,0.67,0.08};{0.05,0.17,0.15,16.58};{5.65,5.65,5.65,5.65};{110.28,0.00,0.00,110.28};{5.65,-1000.00,-1000.00,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_9_agents_obsspd_coordinated' (seed 11);{54.91,55.07,55.40,55.19};{47.51,47.67,47.95,47.76};{47.54,47.67,47.95,47.76};{0.00,0.10,0.14,0.09};{5.62,3.96,1.80,4.15};{0.44,22.84,31.33,31.29};{5.65,5.65,5.65,5.65};{53.23,57.18,57.11,53.11};{5.65,5.65,5.65,5.65};{45.97,45.97,45.97,45.97};{45.98,45.98,45.98,45.98};{0.29,0.11,0.13,2.43};
