 KOMONDOR SIMULATION 'sim_0_obsspd_-82' (seed 10);{4.16,104.64,105.14,2.35};{3.63,90.36,90.79,2.15};{3.66,90.36,90.79,2.15};{0.00,0.00,0.00,0.00};{50.75,0.10,0.00,75.20};{10.29,5.13,4.70,10.98};{5.65,5.65,5.65,5.65};{0.00,110.28,110.35,0.00};{-1000.00,5.65,5.65,-1000.00};{0.00,0.00,0.00,0.00};{0.00,0.00,0.00,0.00};{-nan,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_1_obsspd_-82' (seed 10);{78.62,31.37,31.35,79.17};{67.89,27.10,27.08,68.36};{67.89,27.10,27.08,68.36};{0.00,0.00,0.00,0.00};{0.27,1.65,0.00,0.00};{3.91,4.33,4.83,3.35};{5.65,5.65,5.65,5.65};{0.00,110.28,110.35,0.00};{-1000.00,5.65,5.65,-1000.00};{0.00,0.00,0.00,0.00};{0.00,0.00,0.00,0.00};{-nan,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_2_obsspd_-82' (seed 10);{71.13,40.04,39.46,70.63};{61.42,34.58,34.08,60.99};{61.42,34.58,34.08,60.99};{0.00,0.00,0.00,0.00};{0.11,0.10,0.75,0.00};{5.48,4.82,62.25,5.85};{5.65,5.65,5.65,5.65};{110.28,0.00,0.00,110.35};{5.65,-1000.00,-1000.00,5.65};{95.29,95.29,95.29,95.29};{95.29,95.29,95.29,95.29};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_3_obsspd_-82' (seed 10);{7.92,102.28,102.38,8.10};{6.84,88.33,88.41,6.99};{6.84,88.33,88.41,6.99};{0.00,0.00,0.00,0.00};{0.00,0.64,0.00,0.00};{89.98,1.25,7.03,2.27};{5.65,5.65,5.65,5.65};{2.35,107.87,107.93,2.54};{5.65,5.65,5.65,5.65};{2.03,2.03,2.03,2.03};{2.03,2.03,2.03,2.03};{335.45,0.24,0.24,309.73};
 KOMONDOR SIMULATION 'sim_4_obsspd_-82' (seed 10);{1.89,106.24,106.63,2.73};{1.67,91.74,92.08,2.42};{1.71,91.74,92.08,2.42};{0.00,0.00,0.00,0.00};{72.37,0.00,0.00,55.15};{11.20,3.71,3.35,11.12};{5.65,5.65,5.65,5.65};{1.72,106.02,106.28,3.18};{5.65,5.65,5.65,5.65};{1.54,1.54,1.54,1.54};{1.59,1.59,1.59,1.59};{99.11,0.34,0.32,139.90};
 KOMONDOR SIMULATION 'sim_5_obsspd_-82' (seed 10);{109.64,0.75,0.35,109.73};{94.68,0.65,0.31,94.75};{94.68,0.65,0.31,94.75};{0.00,0.00,0.00,0.00};{0.40,0.00,63.82,0.00};{0.58,0.68,96.37,0.50};{5.65,5.65,5.65,5.65};{109.65,0.70,0.00,109.90};{5.65,5.65,-1000.00,5.65};{94.74,94.74,94.74,94.74};{94.74,94.74,94.74,94.74};{0.14,1321.43,1042.79,0.13};
 KOMONDOR SIMULATION 'sim_6_obsspd_-82' (seed 10);{94.85,15.43,15.29,94.99};{81.90,13.32,13.21,82.03};{81.90,13.32,13.21,82.03};{0.00,0.00,0.00,0.00};{0.00,0.00,1.19,0.09};{2.51,83.38,3.20,2.31};{5.65,5.65,5.65,5.65};{26.33,83.57,83.25,26.78};{5.65,5.65,5.65,5.65};{22.74,22.74,22.74,22.74};{22.74,22.74,22.74,22.74};{21.00,1.96,1.97,20.32};
 KOMONDOR SIMULATION 'sim_7_obsspd_-82' (seed 10);{29.98,79.90,80.76,30.29};{25.89,69.00,69.74,26.16};{25.89,69.00,69.74,26.16};{0.00,0.00,0.00,0.00};{0.88,0.24,0.04,0.04};{7.96,4.29,26.02,70.37};{5.65,5.65,5.65,5.65};{12.59,96.42,98.71,13.23};{5.65,5.65,5.65,5.65};{10.88,10.88,10.88,10.88};{10.88,10.88,10.88,10.88};{43.09,0.93,0.79,42.41};
 KOMONDOR SIMULATION 'sim_8_obsspd_-82' (seed 10);{104.56,6.04,6.14,104.21};{90.29,5.22,5.30,89.99};{90.29,5.22,5.30,89.99};{0.00,0.00,0.00,0.00};{0.03,3.46,0.41,0.12};{2.35,8.73,91.55,2.57};{5.65,5.65,5.65,5.65};{110.35,0.00,0.00,110.28};{5.65,-1000.00,-1000.00,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_9_obsspd_-82' (seed 10);{11.27,99.38,99.33,10.54};{9.73,85.82,85.77,9.10};{9.73,85.82,85.77,9.10};{0.00,0.00,0.00,0.00};{0.00,0.62,0.00,0.00};{4.16,4.58,5.17,87.73};{5.65,5.65,5.65,5.65};{10.62,99.92,100.23,9.54};{5.65,5.65,5.65,5.65};{9.17,9.17,9.17,9.17};{9.17,9.17,9.17,9.17};{79.01,0.69,0.69,88.47};
